年,週番号,開始日,終了日,保健所,インフルエンザ,RSウイルス感染症,咽頭結膜熱,Ａ群溶血性レンサ球菌咽頭炎,感染性胃腸炎,水痘,手足口病,伝染性紅斑,突発性発しん,百日咳,ヘルパンギ｜ナ,流行性耳下腺炎,不明発しん症,川崎病,急性出血性結膜炎,流行性角結膜炎,細菌性髄膜炎*,無菌性髄膜炎,マイコプラズマ肺炎,クラミジア肺炎(オウム病は除く),感染性胃腸炎／ロタウイルス,インフルエンザ入院,新型コロナウイルス感染症／COVID|19,COVID|19入院,急性呼吸器感染症／ARI
2016,1,2016-01-04,2016-01-10,報告数/定点数,1.66,0.59,0.38,1.9,8.24,0.98,0.04,0.39,0.33,0.02,0.01,0.79,0.05,0.03,,0.59,,0.04,2.04,,,0.32,,,
2016,1,2016-01-04,2016-01-10,千代田,1.5,1.0,0.33,0.67,3.67,0.33,0.33,,,,,,,0.33,,,,,1.5,,,,,,
2016,1,2016-01-04,2016-01-10,中央区,2.6,,0.33,3.0,6.33,1.0,,0.33,0.67,,,,,,,2.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,みなと,2.22,0.5,1.67,1.33,6.67,1.17,0.17,0.17,0.33,,,1.17,,0.17,,,,,2.0,,,1.0,,,
2016,1,2016-01-04,2016-01-10,新宿区,2.0,1.13,0.38,1.13,4.75,0.25,,0.25,0.25,,,,,0.13,,1.0,,,4.0,,,,,,
2016,1,2016-01-04,2016-01-10,文京,1.43,0.25,0.5,0.75,7.5,1.0,0.25,0.25,,0.25,,0.25,,,,2.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,台東,0.29,,1.25,0.5,12.25,1.75,,,0.75,,,0.5,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,墨田区,1.75,,,1.2,5.0,0.8,,0.2,,,,1.6,,,,1.0,,,2.0,,,,,,
2016,1,2016-01-04,2016-01-10,江東区,2.43,0.89,,2.44,11.89,1.0,,0.22,0.22,,,1.78,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,品川区,1.33,,0.13,1.0,5.38,0.63,,0.13,0.25,,,0.25,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,目黒区,1.88,0.4,0.4,1.6,10.8,0.2,,0.2,0.4,,,,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,大田区,2.26,1.0,0.92,2.0,9.75,0.5,0.08,0.42,0.33,,0.08,0.08,,,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,世田谷,1.72,0.5,0.88,2.63,9.31,0.75,0.13,0.31,0.13,,,0.19,,,,0.5,,0.5,0.5,,,3.0,,,
2016,1,2016-01-04,2016-01-10,渋谷区,1.71,,,0.25,10.75,2.75,,0.25,,,,,,,,1.0,,,3.0,,,,,,
2016,1,2016-01-04,2016-01-10,中野区,2.9,0.5,0.17,2.0,11.83,0.5,,1.0,0.33,,,0.17,,0.17,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,杉並,0.94,0.2,0.4,0.9,5.6,0.5,,0.2,0.1,0.1,,0.2,,0.1,,1.0,,,,,,0.5,,,
2016,1,2016-01-04,2016-01-10,池袋,0.71,2.0,0.25,0.75,4.5,1.0,,,1.0,,,,,,,,,,6.0,,,,,,
2016,1,2016-01-04,2016-01-10,北区,1.1,0.43,0.14,1.29,6.43,0.14,,,0.14,,,0.57,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,荒川区,2.29,1.0,,2.5,2.75,2.5,,0.25,0.25,0.25,,1.25,,,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,板橋区,1.25,,0.1,0.2,3.8,0.4,,0.1,0.2,,,0.2,0.1,,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,練馬区,1.9,0.46,0.08,2.15,9.85,2.0,,,0.38,,,0.85,0.15,,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,足立,1.55,0.69,0.15,1.92,8.62,0.54,,0.38,0.08,0.08,,0.92,,,,0.5,,,,,,,,,
2016,1,2016-01-04,2016-01-10,葛飾区,1.77,0.13,0.13,1.13,8.5,1.25,,0.88,0.25,,,0.38,,,,2.0,,,5.0,,,,,,
2016,1,2016-01-04,2016-01-10,江戸川,1.95,0.33,0.5,2.25,10.08,0.58,,0.75,0.33,0.08,,1.25,,0.17,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,八王子市,1.5,1.91,0.27,2.09,13.18,1.64,0.18,0.73,0.64,,,1.73,0.45,,,0.5,,,2.0,,,,,,
2016,1,2016-01-04,2016-01-10,町田市,1.85,,,3.88,10.88,1.13,,0.63,0.25,,,0.63,0.25,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,西多摩,1.57,0.38,,1.63,7.63,0.5,,0.5,0.13,,,1.75,,,,,,,6.0,,,,,,
2016,1,2016-01-04,2016-01-10,南多摩,0.93,0.56,0.11,1.89,9.56,0.67,,0.89,0.56,,,0.44,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,多摩立川,1.24,0.5,0.21,2.93,5.86,0.79,,0.57,0.36,,,0.5,,,,,,,4.0,,,,,,
2016,1,2016-01-04,2016-01-10,多摩府中,1.87,0.7,0.25,1.6,7.95,1.45,0.05,0.2,0.35,0.05,,2.15,,0.05,,,,,2.67,,,,,,
2016,1,2016-01-04,2016-01-10,多摩小平,1.39,1.2,1.33,3.93,8.6,1.93,0.13,0.8,0.93,,0.13,1.2,0.13,,,0.5,,,0.5,,,,,,
2016,1,2016-01-04,2016-01-10,島しょ,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,報告数/定点数,3.78,0.34,0.19,2.35,8.6,0.54,0.06,0.42,0.51,,0.02,0.73,0.06,0.0,,0.59,,,1.16,0.04,,0.36,,,
2016,2,2016-01-11,2016-01-17,千代田,7.0,,0.33,0.33,1.67,,,0.33,,,,,,,,,,,1.0,,,1.0,,,
2016,2,2016-01-11,2016-01-17,中央区,3.8,,,2.0,11.67,,,,1.67,,,,,,,2.0,,,,,,,,,
2016,2,2016-01-11,2016-01-17,みなと,2.78,0.67,0.83,1.83,6.17,0.5,,,0.33,,,0.83,,,,,,,3.0,1.0,,,,,
2016,2,2016-01-11,2016-01-17,新宿区,2.5,0.5,0.13,1.0,5.63,0.38,,0.13,0.63,,,,,,,1.0,,,0.5,,,0.5,,,
2016,2,2016-01-11,2016-01-17,文京,5.29,,0.25,,8.75,0.75,,0.25,0.25,,,0.5,,,,3.0,,,,,,,,,
2016,2,2016-01-11,2016-01-17,台東,2.0,0.25,0.25,1.25,14.0,0.75,2.5,0.25,0.75,,,0.5,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,墨田区,2.88,0.2,,1.2,4.4,0.8,,0.8,1.0,,,0.2,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,江東区,6.36,0.33,,3.89,14.67,0.67,,0.33,0.44,,,1.0,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,品川区,1.58,0.13,,0.63,4.5,0.25,,0.25,0.25,,,0.75,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,目黒区,4.25,0.2,,2.2,9.2,0.8,,0.2,0.8,,,,0.2,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,大田区,3.25,0.54,0.46,3.31,12.46,0.31,,0.31,0.77,,,,0.08,,,0.5,,,,,,,,,
2016,2,2016-01-11,2016-01-17,世田谷,5.12,0.38,0.31,3.69,7.25,0.63,,0.63,0.44,,,0.13,0.19,0.06,,,,,0.5,,,0.5,,,
2016,2,2016-01-11,2016-01-17,渋谷区,3.14,,,,8.25,0.75,,,,,,,,,,3.0,,,2.0,,,,,,
2016,2,2016-01-11,2016-01-17,中野区,5.3,0.5,,1.33,13.67,,0.17,0.83,0.33,,,,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,杉並,3.94,0.3,,1.2,5.7,0.7,0.1,0.6,0.5,,,0.2,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,池袋,3.0,1.5,0.25,0.5,3.5,0.5,,0.5,,,,,,,,,,,1.0,,,2.0,,,
2016,2,2016-01-11,2016-01-17,北区,2.82,,0.43,1.43,7.57,0.43,,,0.71,,,0.14,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,荒川区,5.57,1.5,,4.0,5.5,1.75,,,1.0,,,1.25,,,,1.0,,,,,,,,,
2016,2,2016-01-11,2016-01-17,板橋区,2.56,,0.1,0.7,3.7,0.3,,,0.3,,,,0.1,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,練馬区,5.71,,0.08,3.31,8.62,0.62,,,0.23,,0.31,0.23,,,,0.5,,,,,,,,,
2016,2,2016-01-11,2016-01-17,足立,3.3,0.38,0.23,2.46,9.69,0.92,,0.69,0.54,,,2.23,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,葛飾区,3.92,0.5,0.25,1.38,10.38,0.5,,1.38,0.5,,,0.13,0.13,,,3.0,,,5.0,,,1.0,,,
2016,2,2016-01-11,2016-01-17,江戸川,3.74,0.25,0.17,2.75,15.17,0.25,,0.33,0.25,,,1.5,0.08,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,八王子市,3.61,0.64,0.27,3.27,13.18,0.64,,0.55,0.82,,,1.64,0.18,,,1.5,,,2.0,,,,,,
2016,2,2016-01-11,2016-01-17,町田市,5.23,0.13,0.13,3.13,11.0,0.5,0.13,0.75,0.63,,,,0.25,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,西多摩,4.64,0.13,0.13,2.63,8.38,0.25,,1.13,0.25,,,0.88,,,,1.0,,,1.0,,,,,,
2016,2,2016-01-11,2016-01-17,南多摩,2.71,0.33,0.11,3.89,8.67,0.11,,0.78,0.89,,0.11,0.56,,,,,,,,,,,,,
2016,2,2016-01-11,2016-01-17,多摩立川,2.19,0.14,,2.79,6.0,0.29,0.07,0.29,0.5,,,0.29,,,,,,,1.0,,,,,,
2016,2,2016-01-11,2016-01-17,多摩府中,3.76,0.43,0.24,1.38,7.05,0.71,,0.29,0.48,,,2.05,,,,0.33,,,3.0,,,0.67,,,
2016,2,2016-01-11,2016-01-17,多摩小平,3.3,0.47,0.47,4.47,7.67,1.0,0.13,0.47,0.53,,,1.93,0.2,,,1.0,,,0.5,,,,,,
2016,2,2016-01-11,2016-01-17,島しょ,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,報告数/定点数,11.19,0.43,0.3,3.03,8.68,0.53,0.03,0.37,0.42,0.02,0.01,0.45,0.04,0.02,,0.46,0.04,0.04,0.48,0.04,0.08,1.24,,,
2016,3,2016-01-18,2016-01-24,千代田,12.0,,,0.33,2.33,,,,,,,,,,,,,,3.0,,,2.5,,,
2016,3,2016-01-18,2016-01-24,中央区,9.8,0.33,,5.67,5.33,,,,1.0,,,,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,みなと,14.67,0.83,1.33,2.17,9.5,1.5,,,0.67,,,1.0,,,,,,,,1.0,,3.0,,,
2016,3,2016-01-18,2016-01-24,新宿区,10.75,0.88,0.25,1.13,6.0,1.0,,0.13,0.5,,,0.13,,,,0.5,,0.5,0.5,,,0.5,,,
2016,3,2016-01-18,2016-01-24,文京,11.86,0.25,1.0,0.75,10.5,0.25,0.25,0.25,0.25,,,,,,,1.0,,,,,,,,,
2016,3,2016-01-18,2016-01-24,台東,7.86,0.25,,3.25,17.75,0.25,0.5,0.75,1.0,,0.25,0.25,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,墨田区,13.5,,0.2,2.8,5.8,1.0,,0.6,0.4,,,1.8,0.2,,,1.0,,,1.0,,,1.0,,,
2016,3,2016-01-18,2016-01-24,江東区,16.07,0.56,0.22,3.56,18.44,0.67,,0.44,0.67,,,0.44,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,品川区,8.67,0.63,0.25,1.5,11.25,0.25,,0.25,0.13,,,0.5,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,目黒区,7.63,0.4,,4.0,8.2,0.4,,0.2,,,,,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,大田区,7.65,1.15,0.23,4.08,13.23,0.46,,0.08,0.69,0.08,,0.08,0.08,,,0.5,,,,,,,,,
2016,3,2016-01-18,2016-01-24,世田谷,15.68,0.19,0.31,5.19,8.81,0.19,0.06,0.13,0.31,,,0.25,0.31,,,1.0,,,,,,3.0,,,
2016,3,2016-01-18,2016-01-24,渋谷区,8.14,0.25,,,5.75,0.25,,0.25,,,,,,,,2.0,,,1.0,,,2.0,,,
2016,3,2016-01-18,2016-01-24,中野区,17.2,0.5,,3.33,14.83,,0.17,0.5,1.0,,,0.17,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,杉並,10.2,0.2,0.3,2.1,5.6,0.4,0.1,0.3,0.4,,,0.1,,,,3.0,,,,,,,,,
2016,3,2016-01-18,2016-01-24,池袋,9.86,0.75,0.25,2.0,3.25,0.25,,,,,,,,,,,1.0,,,,,4.0,,,
2016,3,2016-01-18,2016-01-24,北区,6.18,,0.14,0.86,8.0,0.14,0.14,,0.57,,,,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,荒川区,15.71,0.75,0.25,5.25,4.25,0.75,,,0.5,,,1.0,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,板橋区,8.75,0.2,,0.4,3.3,0.3,,0.1,0.2,0.1,,0.1,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,練馬区,11.29,0.38,,4.46,6.54,0.62,,0.08,0.62,,,0.31,,,,0.5,,,,,,,,,
2016,3,2016-01-18,2016-01-24,足立,10.25,0.23,0.31,2.69,11.0,1.0,,0.69,0.15,,,0.62,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,葛飾区,12.31,0.63,0.13,5.25,10.75,0.75,,1.0,0.63,,,0.13,,,,,,,,,2.0,1.0,,,
2016,3,2016-01-18,2016-01-24,江戸川,10.11,0.58,0.25,3.67,10.5,0.58,,1.42,0.25,,,0.67,0.08,0.08,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,八王子市,14.61,0.64,0.73,4.27,10.91,0.91,,0.27,0.55,0.09,,1.18,0.09,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,町田市,12.15,,,1.63,13.5,0.25,,0.38,0.5,,,0.25,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,西多摩,9.43,0.25,0.5,3.63,4.63,0.25,,0.88,0.13,,,0.75,,,,,,,1.0,,,,,,
2016,3,2016-01-18,2016-01-24,南多摩,7.5,0.11,,2.89,5.67,0.22,,0.44,0.22,,0.11,0.56,,,,,,,,,,,,,
2016,3,2016-01-18,2016-01-24,多摩立川,8.19,,,2.36,5.64,0.36,,0.21,0.21,,,0.14,,0.07,,0.5,,,,,,,,,
2016,3,2016-01-18,2016-01-24,多摩府中,11.36,0.38,0.33,2.24,6.14,1.0,,0.19,0.43,0.05,,1.1,0.05,0.05,,,,,0.67,,,1.33,,,
2016,3,2016-01-18,2016-01-24,多摩小平,13.61,1.0,1.2,4.67,9.6,0.53,,0.8,0.73,,,0.53,,0.07,,2.5,,,,,,2.0,,,
2016,3,2016-01-18,2016-01-24,島しょ,11.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,報告数/定点数,25.98,0.49,0.18,3.3,8.84,0.54,0.07,0.42,0.4,0.01,,0.54,0.05,0.02,,0.69,0.04,,0.52,0.04,,1.8,,,
2016,4,2016-01-25,2016-01-31,千代田,19.25,,,,3.0,,,0.33,,,,,,,,,,,0.5,,,3.0,,,
2016,4,2016-01-25,2016-01-31,中央区,20.2,1.33,0.33,6.0,12.33,,,0.33,,,,,,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,みなと,22.89,0.5,0.5,1.33,9.67,1.0,,,0.67,,,1.0,,,,,,,,1.0,,2.0,,,
2016,4,2016-01-25,2016-01-31,新宿区,22.17,0.88,0.13,1.0,4.75,0.13,0.25,,0.5,,,,0.13,0.13,,0.5,,,0.5,,,1.0,,,
2016,4,2016-01-25,2016-01-31,文京,23.43,,,0.25,6.0,0.25,,,,,,0.25,,,,1.0,,,,,,1.0,,,
2016,4,2016-01-25,2016-01-31,台東,10.86,0.5,0.25,2.5,10.5,2.25,0.5,1.5,1.25,,,,0.25,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,墨田区,17.75,0.6,,2.4,5.6,0.4,,0.8,0.2,,,0.4,,0.2,,,1.0,,1.0,,,,,,
2016,4,2016-01-25,2016-01-31,江東区,29.64,0.78,0.11,3.0,13.33,0.44,,0.33,0.33,,,0.22,0.11,,,1.0,,,,,,,,,
2016,4,2016-01-25,2016-01-31,品川区,17.17,,,1.0,9.63,0.38,,,0.13,,,0.5,,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,目黒区,19.0,0.2,0.2,1.6,7.8,,0.2,0.8,0.4,,,0.4,,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,大田区,25.85,0.77,0.15,4.08,11.62,0.46,,0.15,0.23,,,0.23,,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,世田谷,28.32,0.38,0.38,4.0,7.25,0.56,,0.25,0.56,,,0.25,0.13,,,1.0,,,,,,6.0,,,
2016,4,2016-01-25,2016-01-31,渋谷区,15.14,,,0.5,6.75,0.25,,,0.5,,,,,,,3.0,,,1.0,,,4.0,,,
2016,4,2016-01-25,2016-01-31,中野区,32.5,0.5,,3.0,16.67,,,0.83,0.83,,,,,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,杉並,22.13,,,1.5,7.1,0.5,,0.2,0.1,,,0.1,0.1,,,3.0,,,,,,,,,
2016,4,2016-01-25,2016-01-31,池袋,18.14,1.25,,0.75,4.5,,,,,,,,,,,2.0,,,,,,3.0,,,
2016,4,2016-01-25,2016-01-31,北区,17.18,0.14,0.14,0.43,7.0,1.29,1.0,,0.43,,,0.71,,,,1.0,,,,,,,,,
2016,4,2016-01-25,2016-01-31,荒川区,28.43,0.5,,6.0,7.25,2.0,,,0.75,,,0.75,,,,3.0,,,,,,,,,
2016,4,2016-01-25,2016-01-31,板橋区,16.56,,,0.4,5.3,0.4,0.1,0.1,0.3,,,,0.1,,,1.5,,,2.0,,,,,,
2016,4,2016-01-25,2016-01-31,練馬区,25.86,0.31,0.08,4.54,8.08,0.46,0.08,0.15,0.23,,,0.62,,,,0.5,,,,,,,,,
2016,4,2016-01-25,2016-01-31,足立,24.9,0.46,0.23,1.92,12.0,0.46,,0.46,0.31,0.08,,0.62,,,,0.5,,,,,,,,,
2016,4,2016-01-25,2016-01-31,葛飾区,24.38,0.5,,6.5,11.25,0.88,0.38,0.88,0.38,,,0.38,,,,1.0,,,2.0,,,3.0,,,
2016,4,2016-01-25,2016-01-31,江戸川,28.05,0.67,0.42,4.58,9.17,0.25,,0.83,0.25,,,0.67,0.17,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,八王子市,40.33,0.73,0.55,4.82,11.18,0.55,0.09,1.09,0.73,,,1.82,0.45,,,1.5,,,,,,,,,
2016,4,2016-01-25,2016-01-31,町田市,36.69,2.63,0.13,6.0,15.88,0.13,,0.38,0.5,,,0.25,,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,西多摩,20.71,0.38,0.75,4.13,7.63,0.38,,0.5,0.13,,,0.63,,,,,,,,,,1.0,,,
2016,4,2016-01-25,2016-01-31,南多摩,25.71,0.11,,5.11,6.44,0.22,0.11,1.22,0.67,,,1.44,,,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,多摩立川,26.57,0.43,,3.29,7.21,0.79,,0.36,0.64,,,0.14,,0.07,,,,,,,,,,,
2016,4,2016-01-25,2016-01-31,多摩府中,33.09,0.05,0.2,3.55,8.45,0.6,,0.25,0.35,0.05,,1.25,,0.05,,,,,1.67,,,2.0,,,
2016,4,2016-01-25,2016-01-31,多摩小平,33.26,0.73,0.33,5.53,8.07,1.07,,0.8,0.47,,,0.93,,0.07,,0.5,,,,,,2.5,,,
2016,4,2016-01-25,2016-01-31,島しょ,30.5,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,報告数/定点数,39.43,0.26,0.25,3.37,8.44,0.47,0.03,0.29,0.44,,0.02,0.56,0.05,0.01,,0.55,,0.04,0.56,0.04,0.12,2.56,,,
2016,5,2016-02-01,2016-02-07,千代田,31.0,,,0.33,3.67,,,,,,,,0.33,,,,,,2.0,,,0.5,,,
2016,5,2016-02-01,2016-02-07,中央区,43.4,,0.33,12.67,14.67,,,1.0,1.0,,,0.33,,,,1.0,,,,,,,,,
2016,5,2016-02-01,2016-02-07,みなと,38.44,0.33,1.33,2.67,11.17,0.33,,,0.5,,,0.33,,,,,,,,1.0,,6.0,,,
2016,5,2016-02-01,2016-02-07,新宿区,23.58,0.63,0.13,1.13,6.63,0.38,,0.13,0.5,,,,,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,文京,21.71,,,0.75,6.75,,,,0.5,,,0.5,,,,2.0,,,,,,1.0,,,
2016,5,2016-02-01,2016-02-07,台東,23.71,0.75,0.25,2.5,13.5,0.25,,0.5,1.25,,,0.5,,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,墨田区,35.0,,,2.4,6.2,0.8,,0.8,0.4,,,0.2,,,,,,,1.0,,,,,,
2016,5,2016-02-01,2016-02-07,江東区,39.79,,,4.0,14.44,1.0,,0.11,0.33,,,0.44,0.22,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,品川区,23.42,0.13,,1.25,10.75,0.25,,0.13,0.13,,,0.25,,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,目黒区,23.88,,0.4,3.8,7.2,0.4,,0.2,0.2,,,0.4,,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,大田区,42.1,0.38,0.15,3.08,12.62,0.15,,0.38,0.38,,,0.31,0.08,0.08,,0.5,,,,,,,,,
2016,5,2016-02-01,2016-02-07,世田谷,44.6,0.25,0.19,3.56,7.88,0.56,,0.25,0.31,,,0.06,,,,,,,,,,6.5,,,
2016,5,2016-02-01,2016-02-07,渋谷区,22.71,0.25,,1.0,7.5,0.25,,0.75,0.25,,,,,,,2.0,,,2.0,,,7.0,,,
2016,5,2016-02-01,2016-02-07,中野区,36.8,0.17,,3.83,11.33,0.33,,0.17,0.83,,,0.33,,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,杉並,33.06,,,1.9,7.6,0.8,0.1,0.3,0.4,,,0.2,0.1,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,池袋,29.57,0.5,0.25,0.5,3.0,0.25,,,0.25,,,,,,,1.0,,,,,,9.0,,,
2016,5,2016-02-01,2016-02-07,北区,32.36,,0.14,1.71,5.43,,0.14,,0.43,,,0.57,,,,1.0,,,,,,,,,
2016,5,2016-02-01,2016-02-07,荒川区,47.71,1.0,,4.5,7.5,,0.25,,1.0,,,1.75,,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,板橋区,30.19,0.1,,0.9,5.2,0.9,,,0.4,,,0.1,0.1,,,,,,1.0,,,1.0,,,
2016,5,2016-02-01,2016-02-07,練馬区,37.76,0.38,,3.31,7.08,0.54,,0.08,0.69,,,0.54,0.08,,,2.0,,,,,,,,,
2016,5,2016-02-01,2016-02-07,足立,40.35,0.08,,2.46,9.0,0.85,0.08,0.08,0.23,,,1.23,,,,1.0,,,,,,,,,
2016,5,2016-02-01,2016-02-07,葛飾区,43.38,,,5.38,9.25,0.25,0.13,0.38,0.38,,0.13,0.13,,,,,,,3.0,,,6.0,,,
2016,5,2016-02-01,2016-02-07,江戸川,44.94,0.36,0.45,7.45,13.0,,,0.73,0.27,,0.09,0.55,0.09,0.09,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,八王子市,60.44,0.27,2.27,5.0,11.09,0.91,0.09,0.64,0.36,,0.09,1.55,0.18,,,1.5,,,,,,,,,
2016,5,2016-02-01,2016-02-07,町田市,51.85,0.38,,4.63,11.75,0.75,,0.63,0.5,,,0.5,,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,西多摩,34.93,0.13,0.13,1.63,3.38,1.38,,0.63,0.25,,,0.5,,,,,,,,,,,,,
2016,5,2016-02-01,2016-02-07,南多摩,43.64,0.78,0.22,3.0,6.11,0.44,0.11,,0.56,,0.11,0.11,,,,1.0,,,,,,,,,
2016,5,2016-02-01,2016-02-07,多摩立川,44.33,0.21,,3.93,5.79,0.36,,0.43,0.5,,,0.64,0.07,,,,,,2.0,,2.0,,,,
2016,5,2016-02-01,2016-02-07,多摩府中,41.91,0.38,0.24,2.24,8.19,0.38,,0.43,0.48,,,1.38,,,,0.33,,0.33,0.33,,0.33,4.0,,,
2016,5,2016-02-01,2016-02-07,多摩小平,51.26,0.2,0.4,6.47,6.07,0.27,,0.13,0.6,,,1.07,0.2,,,1.0,,,,,,4.0,,,
2016,5,2016-02-01,2016-02-07,島しょ,23.5,,,11.0,,,,,,,,,,,,,,,,,,,,,
2016,6,2016-02-08,2016-02-14,報告数/定点数,37.25,0.17,0.21,2.98,7.03,0.45,0.03,0.31,0.34,0.0,0.0,0.45,0.04,0.02,,0.46,,0.04,0.56,0.08,0.12,3.28,,,
2016,6,2016-02-08,2016-02-14,千代田,28.75,,,0.33,2.33,,,,,,,,,,,,,,1.0,,,3.0,,,
2016,6,2016-02-08,2016-02-14,中央区,43.0,,0.33,5.33,8.0,,,,,,,,,,,1.0,,,,,,,,,
2016,6,2016-02-08,2016-02-14,みなと,35.56,0.17,0.83,1.5,8.5,0.67,0.33,0.17,0.67,,,0.5,,,,,,,,2.0,,7.0,,,
2016,6,2016-02-08,2016-02-14,新宿区,30.08,0.13,0.13,1.13,4.63,0.38,,0.25,0.13,,,,,0.13,,,,0.5,,,,1.5,,,
2016,6,2016-02-08,2016-02-14,文京,22.14,,0.5,0.75,7.0,,,0.25,0.25,,,0.25,,,,1.0,,,,,,,,,
2016,6,2016-02-08,2016-02-14,台東,25.29,1.0,0.25,2.0,10.0,1.25,0.25,0.75,,,,0.75,,,,,,,,,,,,,
2016,6,2016-02-08,2016-02-14,墨田区,42.13,0.6,,3.8,7.2,0.4,,0.6,0.4,,,1.0,0.2,,,,,,1.0,,,,,,
2016,6,2016-02-08,2016-02-14,江東区,39.43,0.44,,3.67,12.44,0.56,,,0.33,,,0.78,,,,,,,,,,,,,
2016,6,2016-02-08,2016-02-14,品川区,26.92,,,0.88,8.63,0.38,0.13,0.13,0.5,,,0.38,,,,,,,,,,,,,
2016,6,2016-02-08,2016-02-14,目黒区,22.13,0.2,,0.8,5.8,,0.4,,0.4,,,,0.2,,,,,,,,,,,,
2016,6,2016-02-08,2016-02-14,大田区,34.8,0.31,0.23,1.62,11.62,0.38,,0.23,0.54,,,0.08,0.08,0.08,,1.0,,,,,,,,,
2016,6,2016-02-08,2016-02-14,世田谷,41.4,0.06,0.19,4.38,6.63,0.81,,0.13,0.31,,,0.06,,,,0.5,,,,,,6.5,,,
2016,6,2016-02-08,2016-02-14,渋谷区,17.14,,,0.75,4.5,0.5,,,0.5,,,,,,,2.0,,,,,,8.0,,,
2016,6,2016-02-08,2016-02-14,中野区,31.5,,,3.5,13.83,0.17,,0.5,0.17,,,,,,,,,,,,,,,,
2016,6,2016-02-08,2016-02-14,杉並,27.19,,0.1,1.5,8.5,0.6,,0.3,0.3,,,,,,,,,,,,,,,,
2016,6,2016-02-08,2016-02-14,池袋,23.86,0.5,0.25,2.25,2.25,,0.25,,,,,0.25,,,,,,,,,,8.0,,,
